Freq.	V(c)/I(R1)
1.80000000000000e+007	-8.93757337377247e+001,-6.58290706796652e+002
1.80404040404040e+007	-9.36449725204948e+001,-6.71996867401993e+002
1.80808080808081e+007	-9.81931208743164e+001,-6.86230841358394e+002
1.81212121212121e+007	-1.03043954476225e+002,-7.01022435000019e+002
1.81616161616162e+007	-1.08223771768792e+002,-7.16403606286635e+002
1.82020202020202e+007	-1.13761715269418e+002,-7.32408644799128e+002
1.82424242424242e+007	-1.19690140659495e+002,-7.49074367076753e+002
1.82828282828283e+007	-1.26045041766403e+002,-7.66440328160482e+002
1.83232323232323e+007	-1.32866541094377e+002,-7.84549050046921e+002
1.83636363636364e+007	-1.40199457425923e+002,-8.03446267491253e+002
1.84040404040404e+007	-1.48093964276719e+002,-8.23181191182255e+002
1.84444444444444e+007	-1.56606355733413e+002,-8.43806787687703e+002
1.84848484848485e+007	-1.65799939546905e+002,-8.65380074652072e+002
1.85252525252525e+007	-1.75746081430869e+002,-8.87962428406343e+002
1.85656565656566e+007	-1.86525429496044e+002,-9.11619899264388e+002
1.86060606060606e+007	-1.98229353843958e+002,-9.36423527113567e+002
1.86464646464646e+007	-2.10961643804499e+002,-9.62449646155521e+002
1.86868686868687e+007	-2.24840514441128e+002,-9.89780162395217e+002
1.87272727272727e+007	-2.40000985138682e+002,-1.01850278012346e+003
1.87676767676768e+007	-2.56597706773731e+002,-1.04871114336761e+003
1.88080808080808e+007	-2.74808330655566e+002,-1.08050484394384e+003
1.88484848484848e+007	-2.94837532680227e+002,-1.11398922771118e+003
1.88888888888889e+007	-3.16921830538782e+002,-1.14927490262032e+003
1.89292929292929e+007	-3.41335360872815e+002,-1.18647681295102e+003
1.89696969696970e+007	-3.68396817244722e+002,-1.22571268919720e+003
1.90101010101010e+007	-3.98477788405134e+002,-1.26710060597777e+003
1.90505050505051e+007	-4.32012778186692e+002,-1.31075527209155e+003
1.90909090909091e+007	-4.69511229889278e+002,-1.35678252472329e+003
1.91313131313131e+007	-5.11571911803539e+002,-1.40527128619478e+003
1.91717171717172e+007	-5.58900032168383e+002,-1.45628194226756e+003
